time,ANG_1,VOL_1,ANG_2,VOL_2,ANG_3,VOL_3,ANG_4,VOL_4,ANG_5,VOL_5,ANG_6,VOL_6,ANG_7,VOL_7,ANG_8,VOL_8,ANG_9,VOL_9
118,1.0,1.0,0.042805426237917554,0.75,0.03514989781553515,1.0,0.04655380316421987,0.04583022972732299,0.035920199900479545,0.0012640010834391706,0.034894186620229514,0.0,0.03491775416624367,0.0,0.04207011608875079,0.006286821269381547,0.0604440842105123,0.044338635049250834
110,1.0,1.0,0.03521457008762082,0.75,0.03259499932743522,1.0,0.03314360672933973,0.10050084955104463,0.03145929092586676,0.127334239323854,0.03282690661916374,0.10657288087411547,0.032751689418003355,0.09689278728211016,0.03530743370016298,0.07329804519035354,0.0444688583315236,0.06495907480096663
28,1.0,1.0,0.09795037734234321,1.0,0.09116111317939542,1.0,0.08389452465605285,0.15121842227724036,0.08308477570539956,0.11127855305934203,0.09115555971088322,0.09916866559778971,0.0953236940508776,0.08315606625239379,0.09765634595430749,0.0926791440943053,0.10129920378769745,0.12339112775490582
70,1.0,1.0,0.07440158694957773,1.0,0.0751400943629371,0.75,0.07590376645746337,0.14430872212891052,0.08617726437227863,0.13515944831612048,0.07524561872753201,0.1115428550331012,0.07152122718365966,0.09973796645606929,0.07432937091438122,0.09225337524584187,0.08193800966416184,0.10241653694394967
199,1.0,1.0,0.0970284668314556,1.0,0.09464619090360238,1.0,0.09597426208642672,0.14499169244709523,0.101991357628977,0.11004032028909072,0.09469547304514507,0.11420507592556563,0.09347585805727647,0.11896504527128174,0.09687542395456757,0.10452894288680842,0.10628930748346407,0.10352217036213063
8,1.0,1.0,0.060799757443687194,0.75,0.055027742648518896,1.0,0.057176680648002895,0.13255569501355888,0.05301275501932259,0.1031959331770914,0.05519436097723145,0.10949578502150448,0.056618560044265624,0.11686801615480377,0.06102841619470616,0.10750507610741993,0.07561319589569336,0.11894251475822135
48,1.0,1.0,0.028242629192111266,1.0,0.02954042482087857,1.0,0.02013008340654055,0.018399549676182902,0.026242880351160507,0.03338514334140685,0.02939958648877102,0.0210792319341305,0.0304843299139361,0.012417128269952574,0.027576112371537457,0.0,0.014079658295452513,0.0
111,1.0,1.0,0.04778911953801686,0.75,0.050079889052614554,1.0,0.03668237273730794,0.06029425830759948,0.047302825348027384,0.07660128069908631,0.05008292917273605,0.06901515824062349,0.051446939956519486,0.06373472723686172,0.0474228976254753,0.04319394795303758,0.031879363086807756,0.029001282852958568
190,1.0,1.0,0.08556272250237902,0.75,0.07947300526137498,1.0,0.07725817124655666,0.22556664629200926,0.07607356681178397,0.21183748712805586,0.07990456676936727,0.1886019779735398,0.08158163797923138,0.17292034511318727,0.08625710044052085,0.17110874422559183,0.1029774127561846,0.19122547619140248
189,1.0,1.0,0.11425256054378698,1.0,0.10994217566047661,0.75,0.09617084172023034,0.27235680057764333,0.1036082247234403,0.23273922031611138,0.11035539690938873,0.20862830374435035,0.11385887688688438,0.1873285489009752,0.11505642811929402,0.20625076610950308,0.11932233617028574,0.24788160147123683
158,1.0,1.0,0.09907253820381669,0.75,0.09802350391109851,0.75,0.08497107387687534,0.24920080351906493,0.09633015973173598,0.22623410399307717,0.09852688323895634,0.21969951195135345,0.10031812152935649,0.21675212545427852,0.1000851050652036,0.21198247098842146,0.10214318156975824,0.22048257076484937
134,1.0,1.0,0.10471184182442403,1.0,0.09979792749652976,1.0,0.0931153617301849,0.22921777211865577,0.0978198478431298,0.21260197649629467,0.09997784316058608,0.14767841936558623,0.10078690760707303,0.09502348204225836,0.10470739185871886,0.12454399025188344,0.11357345002697047,0.18460526846428177
69,1.0,1.0,0.08008452270733771,0.75,0.08182539292620934,0.75,0.0724344929692978,0.20424938996842149,0.08825094452511925,0.17080940708708578,0.0820569298627865,0.14516823919805175,0.08010714740689481,0.13007244743811466,0.08058293605378106,0.14855805704799624,0.08135536061713725,0.19166352512681067
30,1.0,1.0,0.0891700106915853,1.0,0.08921814085224412,1.0,0.09326459844961091,0.2104820294421059,0.1045056826808949,0.18436637437722928,0.08944153161785535,0.14915572496959706,0.08407794068889828,0.13056509546548142,0.08947150234938546,0.13865622850309484,0.10609102591055924,0.17276178820584995
35,1.0,1.0,0.09872326034213155,0.75,0.10073668338796195,1.0,0.09532032344628376,0.21275109124587097,0.1130741149531455,0.15850585425917066,0.10090545780661402,0.14590298518766648,0.09748645116817675,0.14113774797468187,0.09913869559283706,0.15728460084304077,0.1033973417161681,0.1967925578587377
