time,ANG_1,VOL_1,ANG_2,VOL_2,ANG_3,VOL_3,ANG_4,VOL_4,ANG_5,VOL_5,ANG_6,VOL_6,ANG_7,VOL_7,ANG_8,VOL_8,ANG_9,VOL_9
174,1.0,1.0,0.9811135955927702,0.75,0.9597874537442999,0.75,0.9824261789296118,0.9557771457907661,0.9775610146142406,0.9411778406718687,0.9602806287052784,0.9404191853693066,0.9792048208303888,0.9334569763988942,0.9811559275599413,0.9450235280176954,0.9870785046707257,0.9570867753004011
54,1.0,1.0,0.9979628171568022,1.0,0.9793944059494619,1.0,1.0,0.9600492527881644,1.0,0.9482035210668812,0.97990486548218,0.9621600253760645,0.9982519537084413,0.9684147061646605,0.9980961121232822,0.9713799154788358,0.9979735489027624,0.9740888881352507
15,1.0,1.0,0.9766690630706497,0.75,0.9604745788476248,1.0,0.979775993690403,1.0,0.983060563439397,0.997207633285116,0.9611005700029325,0.974739203994939,0.9782955888331271,0.9515024202972295,0.9770094492013064,0.9716115947899537,0.9747478382684084,0.9977035348439365
144,1.0,1.0,0.9741798480973602,1.0,0.9575798134171019,1.0,0.9728960383423446,0.9775696779251386,0.976427770810635,0.9633010294071942,0.9582337135602522,0.9792704214629789,0.9766334067559163,0.9871176422948363,0.9746550579767799,0.9831958455067891,0.9701077039695764,0.9760253939220438
52,1.0,1.0,0.9723842408419917,1.0,0.9522161220224028,1.0,0.9734981306174667,0.9894749880219328,0.9691430744795092,0.9957776492303292,0.952914557880594,0.9858448569144387,0.9720786772228664,0.9735977017010742,0.972797556899429,0.9749218437903067,0.9763900771357501,0.9727023773005249
1,1.0,1.0,0.9860308566058871,1.0,0.966949973319528,1.0,0.9929154227095626,0.9836744531845507,0.9901960494771336,0.9922119973129668,0.9675726732497307,0.9796549100927462,0.9846613710086738,0.9646963381522782,0.9862884977482594,0.9723764050227317,0.9922696783766105,0.9792343184880533
68,1.0,1.0,0.9991972088708355,0.75,0.9766897965578104,0.75,0.9954697604639735,0.9498573265541126,0.9892066415960316,0.94384669098171,0.9771688099839038,0.9517828596345304,0.9986847307573012,0.954209573263291,0.9991576115198417,0.9545973707223248,1.0,0.9534609971050473
175,1.0,1.0,0.9887855428452769,1.0,0.9703209623177407,0.75,0.9844699383295771,0.9587435406470431,0.9865132059146595,0.9557259786305197,0.9708375953705854,0.9556861593590076,0.9907471670837146,0.950894084667088,0.9888250011737639,0.9523998517350674,0.9825836082990269,0.9543154465644405
88,1.0,1.0,0.9978219581897507,1.0,0.9778024785738957,0.75,0.9995546596993231,0.9825146099890693,0.9953962719171509,0.9835552926947295,0.9784128041956034,0.9861530609376805,0.9980343506839529,0.9850882388342114,0.9981090855752688,0.9873160208118436,0.9994649539837962,0.9885468720400729
135,1.0,1.0,0.9901896556160434,0.75,0.969937057139479,1.0,0.9896209850140869,0.9960186585189038,0.9847080034355703,0.99197563625355,0.9705839251670414,0.9884686145280844,0.9911374610253908,0.9827937288126696,0.9905832648316284,0.9907758237491182,0.990638335495092,1.0
115,1.0,1.0,0.9855751300268925,0.75,0.9665344754999564,0.75,0.986192605852513,0.9978045860172395,0.9832531680771518,0.9963178002272042,0.9672384204592319,1.0,0.986879355174048,1.0,0.9861011575625559,1.0,0.9858100532670938,0.9978152761257011
164,1.0,1.0,0.9888961936221099,0.75,0.9721899611095609,1.0,0.9874777210377091,0.9641652645188115,0.9921967317612148,0.9747897377951332,0.9727890137169383,0.9782916289318008,0.9912479738698368,0.9767918075659221,0.9890731224700924,0.9668310862705706,0.9823565005888465,0.9527907393660369
193,1.0,1.0,0.994231067292611,1.0,0.9727544630768741,1.0,0.9911896489298343,0.9591716069091965,0.9866438893291264,0.9534300829209396,0.9732485493054467,0.9521214163062071,0.9941581123303747,0.9467445719730408,0.9942268232209127,0.9533040766324724,0.9941478007076516,0.9608027074152152
36,1.0,1.0,0.981736470565084,1.0,0.9616053319361008,1.0,0.9824073103452097,0.9761055517264579,0.9781016189578202,0.9611849283228906,0.9622492573506104,0.980308721280282,0.98169507275091,0.9913234913442934,0.9821869591061378,0.9882160509057687,0.9852600846964058,0.9804570618625247
7,1.0,1.0,0.990581000020956,1.0,0.9696083045175777,1.0,0.9909482281342841,0.983490912995875,0.9857711674031145,0.9885580071908762,0.9701798135497032,0.9689921328348445,0.9902301433483126,0.9493884155026117,0.9907057229129336,0.9630780109844822,0.9927302500411872,0.9797613318396747
42,1.0,1.0,0.9926388594439607,1.0,0.9721577164741687,1.0,0.9919950729826037,0.9710212868526504,0.987957063249998,0.9493676812255318,0.9726679749880532,0.9556956509716393,0.9927504218433989,0.9561146745608688,0.9928092863145889,0.96990934280467,0.9938279519790906,0.9871647920206947
49,1.0,1.0,0.9685578746146095,0.75,0.9508923295130436,1.0,0.9681350136820215,0.9761719925186932,0.9697371028651236,0.9622863369460595,0.9515190974283674,0.9664307875271014,0.9697570245395045,0.9639793764984846,0.9689401576091399,0.9678402414861939,0.9676700549358754,0.9703001061577621
120,1.0,1.0,0.9815841711694729,1.0,0.9639095449176854,0.75,0.9835245361854327,0.9923854581766403,0.98382154180134,0.9824952927375588,0.9645383957352657,0.9785187022714228,0.9828218849052154,0.9707028855517004,0.9819812048457691,0.9824703305807382,0.9811710528648515,0.9967222101765107
191,1.0,1.0,0.9793976797318936,1.0,0.9610978454988421,1.0,0.9805902601440468,0.9970860133539896,0.9791289177294233,0.9865962109976476,0.9617844355433639,0.9907288688726881,0.9807097284633215,0.9901006449513278,0.979938357823504,0.9953050848381286,0.9798262032866495,0.9999946655669142
83,1.0,1.0,0.9860348253307181,1.0,0.9673012433088953,1.0,0.9925339375438179,0.979218021683469,0.9905770368137288,0.9797088575095387,0.9679135605937699,0.9773240223991249,0.984940555611251,0.9703054317439799,0.9863270323008673,0.9759899121656429,0.9916828777831913,0.9802129065523926
19,1.0,1.0,0.9826902369057884,0.75,0.9655758565697923,1.0,0.9860775512850867,0.969383996157639,0.9888484900835576,0.9727168453506633,0.9661629777375687,0.9693824356721452,0.9831284096504622,0.9611449729630817,0.9828886637315674,0.9628471755275395,0.9825778445928772,0.9628635143440667
16,1.0,1.0,0.9854138518101216,0.5,0.9666785832690231,1.0,0.9886798035293335,0.9683388354185071,0.9880713572993133,0.9701559194078486,0.9672592652682874,0.9687240757831005,0.9850021658145799,0.9623289005451529,0.9856001668460035,0.9643161870771048,0.9878566620829655,0.9641670286342103
92,1.0,1.0,0.9892312087649539,0.75,0.9717135066290669,0.75,0.9928155813724056,0.9759857845389907,0.9938986744375622,0.9640159081619597,0.9722823841943463,0.9701915683953071,0.9898227272372767,0.9699993360460225,0.9895109784324175,0.9779034097707043,0.9897056615869378,0.9869080762423601
67,1.0,1.0,0.9979151539013466,1.0,0.977015867778817,0.75,0.994863334371202,0.9690377318733334,0.9909355989477173,0.9690437705240597,0.9775476764276372,0.9654742056992489,0.9986195930078953,0.9592151477149503,0.9979809045299081,0.9642862836080216,0.996095086383523,0.9704847765083119
44,1.0,1.0,0.9801938908922044,0.75,0.9594275123101902,0.75,0.9815996474832209,0.9781266162836094,0.9762045704087841,0.9705646973961346,0.9600565840959704,0.9745930137186336,0.9794038371911117,0.97323385687634,0.9805437887972271,0.9761459838092001,0.985266729435468,0.9763043930744859
2,1.0,1.0,0.9869021581357705,0.75,0.9681977819700627,1.0,0.992362214948664,0.969396727537835,0.9918913442383684,0.9767739406018705,0.9687326862652518,0.9584422816540369,0.9856750691320543,0.9378779888846617,0.9869374409418106,0.9500805326851305,0.9908112186684835,0.9639265826636377
97,1.0,1.0,0.9949606993011796,1.0,0.9762125178951433,1.0,0.9938027984946262,0.9614770375813072,0.9935810574439737,0.9488378427071268,0.9767790316876658,0.9735847876284979,0.9962738525224651,0.9893571289565761,0.9952274404546959,0.982303625813104,0.992659272940955,0.9714813767552342
160,1.0,1.0,0.976483823624371,1.0,0.9579409744655406,1.0,0.9723282523955701,0.9689057505294068,0.9737807550759331,0.9635356622898151,0.95849395246612,0.9539424719675819,0.9782151341932387,0.9409040890699739,0.9766073717807031,0.9488355717484166,0.9718162294488287,0.9585308028905593
99,1.0,1.0,0.9834926902436391,1.0,0.9653400385527559,0.75,0.9772398652935163,0.982491709623008,0.9787447993863421,0.9665734032371356,0.965905002944199,0.9635424105569413,0.98681222302226,0.957026988536387,0.9837411966143569,0.9688745263117917,0.9753626494408785,0.9856798189018815
161,1.0,1.0,0.9903645965108344,1.0,0.9729006532080435,1.0,0.99253585081688,0.9834919102680211,0.9932881745687668,0.9764182602077806,0.9735381942166492,0.9887282882203026,0.9918325375883905,0.9946658112675647,0.9907865306178643,0.9939189242096228,0.9891802705000137,0.9913814378589663
37,1.0,1.0,0.9907699514478279,0.75,0.9720274420144364,1.0,0.9902330493382658,0.991294634762173,0.9886857923957775,0.9915522154929398,0.9726816526720726,0.9922016125644594,0.9925227062646214,0.9897444954353128,0.9911632519129757,0.9913281546454439,0.9885329553934031,0.9924053712668631
125,1.0,1.0,0.9811818873182895,1.0,0.9624839388639631,0.75,0.9853501542137543,0.9908324603461789,0.9831293468984275,0.9899882551826397,0.9631534753769007,0.9876147645231161,0.9811046617767518,0.9813084937176395,0.9816157411855112,0.9859168534223663,0.9849016521531033,0.9889100586644354
123,1.0,1.0,0.9806952807776472,0.5,0.9624012031544218,1.0,0.9765202685542446,0.9691897895397855,0.978330070612178,0.9679899614802925,0.9629754277939317,0.9632886474044204,0.9827879461303067,0.9547951281712591,0.9808551280078184,0.9568286734772754,0.9751093820694166,0.9587989193810763
74,1.0,1.0,0.984032924542872,1.0,0.9641921676070013,0.75,0.9845875686225556,0.9799579560826396,0.9812199628960039,0.9850783190449262,0.96485954489438,0.9885844423022759,0.9842834371290858,0.9877032550886387,0.9844020086047589,0.9820113245149776,0.9858523686375567,0.9712151873240233
129,1.0,1.0,0.9971010064850616,1.0,0.9762980022899019,1.0,0.9953249793513953,0.969756981487794,0.9909281116197992,0.9512286752893699,0.976798972766392,0.9570064822750562,0.997483145581762,0.957527549335733,0.9972285561295289,0.9699149774628969,0.9970870493396539,0.9858231074476844
64,1.0,1.0,0.9824125941638878,1.0,0.9623074488538388,0.5,0.9814941186309777,0.979596631632294,0.9781096913679211,0.9871130928021841,0.9629637355990307,0.9840813715754307,0.982852790123502,0.9779389467754193,0.9827237276085219,0.9743268112701196,0.9831566963547673,0.9666441218429822
94,1.0,1.0,0.9703445989311742,1.0,0.952255462126165,0.5,0.9679298817320192,0.9815873057019088,0.9685118608139643,0.9722307741952854,0.9529345285301541,0.9809456864682973,0.9722519160652935,0.9833173988760648,0.970824904213906,0.9798706123805658,0.9679650620644851,0.9726256487680814
